weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -2.118805254141300102e+05 4.598100016511131078e+06 3.469383364750447072e+02 1.261955200452427539e+13 2.983259052373093620e-02 3.649084295790818260e+02 1.794287198083769397e+01
0.000000000000000000e+00 -2.116435915489798062e+05 4.383248875400729477e+06 3.722224065438280718e+02 5.873519574309588867e+12 3.570049194172601748e-02 2.107566842682384731e+02 1.907637402874600241e+01
0.000000000000000000e+00 -2.104219490586658649e+05 4.476901089258875698e+06 3.734280923398060850e+02 5.695238651231605469e+12 2.036742494953484514e-02 3.295282500792005180e+02 3.521608625858958952e+00
0.000000000000000000e+00 -2.095511175523856364e+05 3.297130587231286336e+06 4.208037937589950843e+02 1.515435868745711719e+13 4.492599934245060378e-02 3.770629937282325272e+02 1.224851970909074161e+01
0.000000000000000000e+00 -2.093784823176058126e+05 4.465283738287742250e+06 3.686008415007970029e+02 5.762087006134443359e+12 2.950648981691616005e-02 3.966625233767100553e+02 3.574393785220266295e+00
0.000000000000000000e+00 -2.091375381641930144e+05 3.235880567124315072e+06 4.467574709958953463e+02 1.233753474541198047e+13 4.333029852791613068e-02 4.135585513559639139e+02 9.468782382438760692e+00
0.000000000000000000e+00 -2.089700017017575155e+05 1.026199090278402669e+06 3.281189257432902764e+02 1.203857410304078516e+13 8.780926846469762348e-02 1.469604139416638020e+02 1.697284321844358956e+01
0.000000000000000000e+00 -2.074619429041135008e+05 3.852672573364131153e+06 1.435338338596175447e+02 1.137084406832186719e+13 8.499384405567303458e-02 3.733033409651208672e+02 8.037709246712676503e+00
0.000000000000000000e+00 -2.049537939140928211e+05 4.133425397507676389e+06 2.872158445277608507e+02 1.869326967241210156e+13 5.340285164219005926e-02 1.388228522092198887e+02 1.159473141682540742e+01
0.000000000000000000e+00 -2.036821577613140980e+05 3.242841947918139864e+06 2.519519832570030076e+02 1.840549304293154688e+13 6.490456399755450967e-02 2.163757624043476824e+02 2.025087656292534621e+00
0.000000000000000000e+00 -2.030167885053282662e+05 3.580059907768599223e+06 1.361172313899302253e+02 1.390718316543760156e+13 8.011953469707253084e-02 1.847303977799197980e+02 1.589525641103347375e+01
0.000000000000000000e+00 -2.028874851037376793e+05 4.287147249327499419e+06 3.011394237488800627e+02 1.601147870373991992e+13 5.094232700662008201e-02 2.537042224817583360e+02 7.435884681365819482e+00
0.000000000000000000e+00 -2.011635710040402482e+05 3.489665697523969226e+06 4.220345683430696226e+02 1.357058359940452734e+13 3.374320840381755948e-02 4.595113137412866990e+02 1.032447477343886533e+01
0.000000000000000000e+00 -2.005300486146123149e+05 4.103319883221279830e+06 3.508958687026276380e+02 1.447088861738555078e+13 3.940838587091893136e-02 4.578901972633713626e+02 7.573130265153972474e+00
0.000000000000000000e+00 -1.997848136359185155e+05 3.683542777258533984e+06 2.417266692493152220e+02 1.063586983535987891e+13 7.720204603702149337e-02 2.318569663436917949e+01 8.359487177844615147e+00
0.000000000000000000e+00 -1.992274565274461638e+05 4.661887527163222432e+06 3.353175809724926921e+02 1.419803584285408789e+13 1.141087439656614591e-02 4.687152705285386673e+02 1.227068374468236911e+01
0.000000000000000000e+00 -1.988061452436509426e+05 4.506285442577412352e+06 4.018270413897779747e+01 1.318627275909071680e+13 8.644227273220195240e-02 4.477988322783983222e+02 1.733232276418759454e+01
0.000000000000000000e+00 -1.978227223587943881e+05 2.393179758815512992e+06 7.587603183352563008e+01 1.956974456865949219e+13 7.463303200128655612e-02 2.709641447189387122e+02 1.600542960751042898e+01
0.000000000000000000e+00 -1.967207594163329632e+05 4.005069668748715892e+06 1.679746254884172174e+02 1.356977479189314062e+13 7.575328274097650749e-02 1.703310969322466804e+02 1.017796571263840555e+01
0.000000000000000000e+00 -1.966983192789676250e+05 4.339947291416214779e+06 1.727383003754961805e+02 9.471140185447941406e+12 8.408310311336578136e-02 2.085485681893939613e+02 1.829633147580895525e+01
0.000000000000000000e+00 -1.960341156982402317e+05 1.122249634876849363e+06 2.191294187362082724e+01 1.355231071778099023e+13 8.715155724203256515e-02 4.489286118487150929e+02 1.628976016039427677e+01
0.000000000000000000e+00 -1.952962642377568118e+05 4.223027909516202286e+06 3.647736537581781704e+02 8.205946860933892578e+12 2.852345655741414521e-02 2.566781290475100832e+02 1.522114874919500238e+01
