rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.979866076185176149e+06 2.239104913096118210e+01 5.109569119381723633e+12 3.947155681791306159e-02 4.974078050623933223e+02 3.723956681883769715e+00
4.999598591150360182e+06 2.212914493301298080e+01 5.004258522057533203e+12 3.908122551649875071e-02 4.989691946450035971e+02 3.836496928179061072e+00
4.905288833909856156e+06 2.261007175312087725e+01 5.003695268080863281e+12 4.004536523151577820e-02 4.999531093190952333e+02 3.722392804770916719e+00
4.947209414242407307e+06 2.266236076628642593e+01 5.079340522759265625e+12 3.912283359398645993e-02 4.988411119940442404e+02 3.778720123126676711e+00
4.869363457132200710e+06 2.271435835500388833e+01 5.035546438107962891e+12 3.920284038755156991e-02 4.994310763284749441e+02 3.913401546445677059e+00
4.823331667590630241e+06 2.295227695151142910e+01 5.118545177275206055e+12 3.894855562435134422e-02 4.995569801699247137e+02 3.882016167562696296e+00
4.929388239992000163e+06 2.279098159305124938e+01 5.063849838961801758e+12 3.886388141067220053e-02 4.963649637943810831e+02 3.907450201074483154e+00
4.970650731108587235e+06 2.209920233074371509e+01 5.682935772027380859e+12 3.738014937362743595e-02 4.986158851836134431e+02 3.893963533094717544e+00
4.989563838445629925e+06 2.264006431580816781e+01 5.143560434836636719e+12 3.908007963986120242e-02 4.992830782271943804e+02 3.746662469909684656e+00
4.989355448585377075e+06 2.154869982997935551e+01 5.037834173888577148e+12 3.974805308508991969e-02 4.917107235014364619e+02 3.951996123337443656e+00
4.952096515445863828e+06 2.243529100376111529e+01 5.027511252365073242e+12 3.921527667284958191e-02 4.922321424156547778e+02 3.794663088772856518e+00
4.899800373323869891e+06 2.261182197788823345e+01 5.362359894941945312e+12 3.819648054958765804e-02 4.993444893665117092e+02 3.735722444903527784e+00
4.973601163086436689e+06 2.184748192754235419e+01 5.185656315169733398e+12 3.903935138620529682e-02 4.995555616515944166e+02 3.838998563463933866e+00
4.937954771379089914e+06 2.258146811875005966e+01 5.071547441060467773e+12 3.896989142348130514e-02 4.994880023537884313e+02 3.863935177512360930e+00
4.980878963656708598e+06 2.220178692091984018e+01 5.031882302393780273e+12 3.936562948321346844e-02 4.971950073181480434e+02 4.035103666202724426e+00
4.984864831080896780e+06 2.219546473909663931e+01 5.073493207792773438e+12 3.896582860754979616e-02 4.996987234601498358e+02 3.743151793808938699e+00
4.896643966911001131e+06 2.182103318524530522e+01 5.034090246071783203e+12 3.908734600907862178e-02 4.986609716504550534e+02 4.069126885489520618e+00
4.779671707285437733e+06 2.342052576147601428e+01 5.077191817102261719e+12 3.928069574494662958e-02 4.981686486552969768e+02 3.795773802554067711e+00
4.965876055608061142e+06 2.191843833300573863e+01 5.033448768147689453e+12 3.959858419818750030e-02 4.963765241009999727e+02 3.800112327146686120e+00
4.838105597376146354e+06 2.134660704628882044e+01 5.110391811691821289e+12 3.980578998123653761e-02 4.993185172066161499e+02 3.874163224403056827e+00
4.976551301836488768e+06 2.219764837993145790e+01 5.118406819085348633e+12 3.923980754093042006e-02 4.980270570030548356e+02 3.827276721573416918e+00
4.979195256019162945e+06 2.256641097534634000e+01 5.187146234558261719e+12 3.901235207911160630e-02 4.984911287412845127e+02 3.838117479818601741e+00
4.957165711769919842e+06 2.303656802794715119e+01 5.007087207080861328e+12 3.932055363328921388e-02 4.963362672514294900e+02 3.648141275049969323e+00
4.962170766040515155e+06 2.346383423114723499e+01 5.198059323494053711e+12 3.833968770531954312e-02 4.995397969348331344e+02 3.624942135789143816e+00
