logz logzerr logvol nlive logl logwt insert_order
-1.899953317059428955e+05 2.722530697280414529e+02 -3.275000000000002354e-01 4.000000000000000000e+02 -1.887306301157311245e+05 -1.887369503300178039e+05 1.929999999999999938e+00
-1.887369503300178039e+05 8.429351886007386838e+02 -3.300000000000002376e-01 4.000000000000000000e+02 -1.882633098552737501e+05 -1.882696325695604319e+05 1.875000000000000000e+00
-1.882696325695604319e+05 6.623748220529926130e+02 -3.325000000000002398e-01 4.000000000000000000e+02 -1.874614513791155186e+05 -1.874677765934022027e+05 5.450000000000000400e-01
-1.874677765934022027e+05 4.007612823514137972e+02 -3.350000000000002420e-01 4.000000000000000000e+02 -1.864299659243308706e+05 -1.864362936386175570e+05 1.560000000000000053e+00
-1.864362936386175570e+05 7.707620921665975402e+02 -3.375000000000002442e-01 4.000000000000000000e+02 -1.851917208263468056e+05 -1.851980510406334943e+05 4.849999999999999867e-01
-1.851980510406334943e+05 1.197612177932720897e+03 -3.400000000000002465e-01 4.000000000000000000e+02 -1.842927559277068358e+05 -1.842990886419935268e+05 1.350000000000000089e+00
-1.842990886419935268e+05 1.316096458302118208e+03 -3.425000000000002487e-01 4.000000000000000000e+02 -1.827766456397032598e+05 -1.827829808539899532e+05 1.004999999999999893e+00
-1.827829808539899532e+05 1.536136862963575595e+03 -3.450000000000002509e-01 4.000000000000000000e+02 -1.823667239116067649e+05 -1.823730616258934606e+05 7.249999999999999778e-01
-1.823730616258934606e+05 1.935332965092171946e+02 -3.475000000000002531e-01 4.000000000000000000e+02 -1.821733848161441274e+05 -1.821797250304308254e+05 1.049999999999999961e-01
-1.821797250304308254e+05 2.217285543368723779e+02 -3.500000000000002554e-01 4.000000000000000000e+02 -1.819870376754527970e+05 -1.819933803897394973e+05 1.919999999999999929e+00
-1.819933803897394973e+05 2.277777886035462700e+02 -3.525000000000002576e-01 4.000000000000000000e+02 -1.808207075462164648e+05 -1.808270527605031675e+05 7.650000000000000133e-01
-1.808270527605031675e+05 6.810432116408615002e+02 -3.550000000000002598e-01 4.000000000000000000e+02 -1.796078304137102386e+05 -1.796141781279969437e+05 6.949999999999999512e-01
-1.796141781279969437e+05 9.522902557682540419e+02 -3.575000000000002620e-01 4.000000000000000000e+02 -1.772107061784522666e+05 -1.772170563927389449e+05 2.600000000000000089e-01
-1.772170563927389449e+05 1.147404124590965012e+03 -3.600000000000002642e-01 4.000000000000000000e+02 -1.751883100468966004e+05 -1.751946627611832810e+05 8.199999999999999512e-01
-1.751946627611832810e+05 9.533668461833400443e+02 -3.625000000000002665e-01 4.000000000000000000e+02 -1.751145272872652858e+05 -1.751208825015519687e+05 1.850000000000000089e+00
-1.751208825015519687e+05 7.761176815740042230e+02 -3.650000000000002687e-01 4.000000000000000000e+02 -1.749710448935574968e+05 -1.749774026078441821e+05 6.099999999999999867e-01
-1.749774026078441821e+05 8.086578223096481679e+02 -3.675000000000002709e-01 4.000000000000000000e+02 -1.749603647161889530e+05 -1.749667249304756406e+05 1.794999999999999929e+00
-1.749667249074220599e+05 8.229770267928225849e+02 -3.700000000000002731e-01 4.000000000000000000e+02 -1.747092130277148390e+05 -1.747155757420015289e+05 1.100000000000000006e-01
-1.747155757420015289e+05 1.456440465659330812e+02 -3.725000000000002753e-01 4.000000000000000000e+02 -1.730399347741735401e+05 -1.730462999884602323e+05 6.300000000000000044e-01
-1.730462999884602323e+05 9.418522643853981435e+02 -3.750000000000002776e-01 4.000000000000000000e+02 -1.711217143551708432e+05 -1.711280820694575377e+05 1.955000000000000071e+00
-1.711280820694575377e+05 1.229830454096426138e+03 -3.775000000000002798e-01 4.000000000000000000e+02 -1.700622329934801382e+05 -1.700686032077668351e+05 7.000000000000000666e-02
-1.700686032077668351e+05 1.475345541752674308e+03 -3.800000000000002820e-01 4.000000000000000000e+02 -1.696614757503724832e+05 -1.696678484646591824e+05 1.479999999999999982e+00
-1.696678484646591824e+05 1.458200666435518997e+03 -3.825000000000002842e-01 4.000000000000000000e+02 -1.689761533888034464e+05 -1.689825286030901480e+05 4.899999999999999911e-01
-1.689825286030901480e+05 1.638962573661294300e+03 -3.850000000000002864e-01 4.000000000000000000e+02 -1.688623992906337371e+05 -1.688687770049204410e+05 6.199999999999999956e-01
-1.688687770049204410e+05 3.720682963080840864e+02 -3.875000000000002887e-01 4.000000000000000000e+02 -1.672295133327186340e+05 -1.672358935470053111e+05 9.150000000000000355e-01
-1.672358935470053111e+05 9.695891058596012044e+02 -3.900000000000002909e-01 4.000000000000000000e+02 -1.668525214784526615e+05 -1.668589041927393409e+05 1.764999999999999902e+00
-1.668589041927393409e+05 9.857511046656389908e+02 -3.925000000000002931e-01 4.000000000000000000e+02 -1.659209180113557086e+05 -1.659273032256423903e+05 4.400000000000000022e-01
