weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -2.602210933657283313e+05 7.299473398102538368e-01 9.489320793998767822e-01 5.319163925530445702e-03 7.219048853887242156e-01 1.719597733198582334e-01 6.031346586081063332e-01
0.000000000000000000e+00 -2.580837545044510043e+05 9.503357115354207352e-01 2.727833008504316759e-01 9.964733993167304016e-01 7.338043211628489937e-01 4.850168062111789302e-01 9.902635559841691526e-01
0.000000000000000000e+00 -2.546411237703630177e+05 4.247252488936524850e-01 4.977006631121024816e-01 7.677272787153925915e-01 7.808613575505152227e-01 2.937896208961952027e-01 9.368466537969867280e-01
0.000000000000000000e+00 -2.540796915023859474e+05 1.896906540767573368e-02 2.462642299017313574e-01 8.160938511144617546e-01 8.510555792960248223e-01 2.806913453817441173e-01 1.460616494281332667e-01
0.000000000000000000e+00 -2.539404872977373889e+05 3.309380340786318708e-01 3.094355391794079146e-02 5.702026255357127704e-01 9.418781733960488456e-01 4.989250733327619258e-01 2.264793051120406187e-01
0.000000000000000000e+00 -2.533125496041182778e+05 6.871479194885591335e-01 9.483618649650383814e-01 5.249975886215847432e-01 4.801836142203721458e-01 8.770181764971524130e-01 9.047580973620767963e-01
0.000000000000000000e+00 -2.519983493015489657e+05 5.860528823223976058e-01 3.976106362097837632e-01 9.071457345598078481e-01 7.515965834261089107e-01 9.620328009859835383e-02 7.782988641130095253e-02
0.000000000000000000e+00 -2.519342507387079531e+05 1.610719456200800925e-01 9.285075380399328004e-01 4.428159364604030701e-01 8.618823533664191627e-01 7.639029201804297120e-01 1.448866456456907592e-01
0.000000000000000000e+00 -2.518172120853875240e+05 3.409083001925528045e-01 3.819444909345545147e-01 7.168458827250554499e-01 8.298262642331746264e-01 3.132185532691426078e-01 8.049252485216447095e-01
0.000000000000000000e+00 -2.512174659067978209e+05 2.442993945870068906e-01 3.039640972814365849e-01 9.902795231665693088e-01 7.826419983775382283e-01 2.550736634557132509e-01 2.463760798430483234e-01
0.000000000000000000e+00 -2.497026633420097642e+05 7.005401023289389295e-01 9.559818312524520634e-01 3.101020713348491276e-01 5.394005679877381665e-01 3.253462508483253579e-01 6.866759480389917902e-01
0.000000000000000000e+00 -2.468723546145810105e+05 8.249942356463472182e-01 6.026806139317707478e-01 3.972842658773045876e-02 9.594015912478486285e-01 3.377603325540300405e-01 8.762231127973529876e-01
0.000000000000000000e+00 -2.463079297840920044e+05 9.704798967149891320e-01 8.371630353069909880e-01 3.744212631307414219e-01 2.927199598410741288e-01 4.010372626945210017e-01 2.528651850566564496e-01
0.000000000000000000e+00 -2.460293947939058125e+05 6.854532925053334891e-01 5.241823761248536329e-01 8.879702084864331546e-01 6.815656531075405811e-01 3.835189363922466566e-01 7.927675346075808704e-01
0.000000000000000000e+00 -2.452301728479184967e+05 9.457059017514631849e-01 7.335633546582613906e-01 5.036412085585201259e-01 4.939724684306032731e-01 7.897041183337714099e-01 6.508673885505180667e-01
0.000000000000000000e+00 -2.451254881793269014e+05 2.047859866614240021e-01 4.378664174308444235e-01 4.831925250118793702e-01 9.079574639528535940e-01 7.672497374234007461e-01 3.303773886514471680e-01
0.000000000000000000e+00 -2.423707344868684304e+05 9.930555375339502611e-01 3.728267043340302012e-01 2.446129356676624012e-01 9.284727564208409278e-01 1.339652605710126565e-01 7.316498864479112907e-01
0.000000000000000000e+00 -2.392815506726812164e+05 9.572667798858565114e-01 7.609504100672630500e-01 1.014986444099869045e-01 5.996650374079321999e-01 4.530281367884969601e-02 4.789272984867427585e-01
0.000000000000000000e+00 -2.366669373367152293e+05 7.931732389853057841e-01 9.317973824906014002e-01 8.961186945797205983e-02 3.820867986798659466e-01 3.633749655859773720e-01 8.371627233417271441e-01
0.000000000000000000e+00 -2.357373428884545574e+05 4.206534458358972550e-01 6.466807392719250425e-01 2.147087244937249118e-01 9.186431716253390389e-01 9.621452795718710149e-01 5.327631445244295216e-01
0.000000000000000000e+00 -2.352448926237204287e+05 9.936483440548310453e-01 8.169127424408636484e-01 6.449716307413276839e-01 1.903272651600359522e-01 2.844437495842544461e-02 5.064906153544008749e-01
0.000000000000000000e+00 -2.346534572978297947e+05 8.410149146478232973e-01 9.032663628046880833e-01 3.492079649453726509e-01 1.585922674871796945e-01 7.319173083854341177e-01 3.233243245392525278e-01
0.000000000000000000e+00 -2.338708182035555074e+05 3.758716896571702160e-01 7.056506202246991544e-01 2.690181109289067063e-01 8.911717840648392119e-01 7.046554206268189624e-01 1.906385484452967072e-01
0.000000000000000000e+00 -2.288957818955616676e+05 8.533447343315997413e-01 8.081615215743939151e-01 3.002069077530276076e-01 4.944218906639447075e-01 2.643904754675896474e-01 2.539088034866530119e-01
0.000000000000000000e+00 -2.288297492705074546e+05 8.980630039957876454e-01 8.238781550024781852e-01 6.766494680606032208e-01 3.346780342231500116e-01 2.414982246505805730e-01 8.587010396396799194e-02
0.000000000000000000e+00 -2.277585752939083904e+05 6.992448482309238100e-01 2.479821799850253639e-01 5.758386057429719651e-01 8.514697060303952902e-01 3.540066227421687639e-01 6.876795701116777959e-02
0.000000000000000000e+00 -2.269930895026068320e+05 2.219053081128231630e-01 5.132652854937610476e-01 5.523982161098028865e-01 8.311474486042220722e-01 9.995391263544708416e-01 9.380194311069190993e-01
0.000000000000000000e+00 -2.216172042626677721e+05 6.950349969376308223e-01 9.312069045759158170e-01 4.103092232749238066e-01 3.574610121467345358e-01 8.558228908297110804e-01 7.178575251517886890e-01
0.000000000000000000e+00 -2.214886432840244670e+05 9.713091238439400810e-01 7.200006340443536601e-01 3.360472707984593077e-01 4.855937527840422652e-01 3.191649991621240412e-01 3.655906257579177865e-02
0.000000000000000000e+00 -2.212785137886958546e+05 9.665608292043071925e-01 8.048049224296374149e-01 5.391533880477628049e-01 3.624500849430867255e-02 5.173015041844197803e-02 5.164962728772095613e-01
0.000000000000000000e+00 -2.205551947205665347e+05 2.640730776711496253e-01 6.646718777389263311e-01 2.532250164387483959e-01 9.155846178856588136e-01 8.940037706776760018e-01 8.342757482978390149e-01
0.000000000000000000e+00 -2.192844676478854963e+05 5.542272981952175437e-01 7.924887408689231805e-01 5.742534147638688191e-01 6.165076770013820928e-01 6.373023450707452353e-01 8.421011680985406311e-01
0.000000000000000000e+00 -2.157440564851383388e+05 9.291608945260954044e-01 1.503334299186599443e-01 4.422707080378637245e-01 8.942405111871132295e-01 9.009126284617532399e-01 7.859482759866126544e-01
0.000000000000000000e+00 -2.128988406990390795e+05 9.476650067766151375e-01 7.768033797248904415e-01 8.534359827361246431e-01 1.592006176543779850e-01 3.028148453601517964e-01 9.777208264434703588e-01
0.000000000000000000e+00 -2.118805254141300102e+05 8.995250041277828013e-01 7.657689465341924739e-01 5.079701336349516927e-01 2.912382881184942818e-01 7.243029175083303128e-01 8.917301042546155188e-01
0.000000000000000000e+00 -2.116435915489798062e+05 8.458122188501823180e-01 8.232327421450638116e-01 5.823463828730590652e-02 3.505100196133941193e-01 4.097075189147724172e-01 9.513881067761053023e-01
0.000000000000000000e+00 -2.104219490586658649e+05 8.692252723147187998e-01 8.259729371359229022e-01 4.634924341544033322e-02 1.956305550458065090e-01 6.520984695493887706e-01 1.327162434662609858e-01
0.000000000000000000e+00 -2.095511175523856364e+05 5.742826468078215951e-01 9.336449858158979431e-01 6.769572458304744522e-01 4.436969630550565702e-01 7.491081504657807200e-01 5.920273531100390674e-01
0.000000000000000000e+00 -2.093784823176058126e+05 8.663209345719355969e-01 8.150019125018113098e-01 5.080580040896287564e-02 2.879443415850116983e-01 7.891071905647143447e-01 1.354944097484350740e-01
0.000000000000000000e+00 -2.091375381641930144e+05 5.589701417810787332e-01 9.926306158997622031e-01 4.891689830274653650e-01 4.275787730092538430e-01 8.235888803182936924e-01 4.457253885494084633e-01
0.000000000000000000e+00 -2.089700017017575155e+05 6.549772569600653682e-03 7.229975585074779332e-01 4.692382735360522972e-01 8.768612976232083023e-01 2.795110488605383470e-01 8.406759588654520998e-01
0.000000000000000000e+00 -2.074619429041135008e+05 7.131681433410328452e-01 3.034859860445853208e-01 4.247229378881244299e-01 8.484226672290204885e-01 7.414353897247364378e-01 3.704057498269829329e-01
0.000000000000000000e+00 -2.049537939140928211e+05 7.833563493769191144e-01 6.300360102903656001e-01 9.128846448274735570e-01 5.293217337594955385e-01 2.629037800188160912e-01 5.576174429908109520e-01
0.000000000000000000e+00 -2.036821577613140980e+05 5.607104869795349611e-01 5.498908710386432031e-01 8.936995361954366279e-01 6.455006464399445365e-01 4.211750253149952883e-01 5.395198191013339528e-02
0.000000000000000000e+00 -2.030167885053282662e+05 6.450149769421498203e-01 2.866300713407504697e-01 5.938122110291734757e-01 7.991872191623488053e-01 3.565926485304485860e-01 7.839608637386038525e-01
0.000000000000000000e+00 -2.028874851037376793e+05 8.217868123318750051e-01 6.616805085201818981e-01 7.340985802493280588e-01 5.044679495618189513e-01 4.973555560852210844e-01 3.387307727034641891e-01
0.000000000000000000e+00 -2.011635710040402482e+05 6.224164243809923169e-01 9.364422007797036374e-01 5.713722399603018420e-01 3.307394788264399477e-01 9.173700280434422538e-01 4.907618301809929529e-01
0.000000000000000000e+00 -2.005300486146123149e+05 7.758299708053200128e-01 7.747633379605173287e-01 6.313925744923700734e-01 3.879634936456457517e-01 9.140616270681047872e-01 3.459542244817880308e-01
0.000000000000000000e+00 -1.997848136359185155e+05 6.708856943146335183e-01 5.266515210211709652e-01 3.757246556906586044e-01 7.697176367375907491e-01 2.690958496810036404e-02 3.873414304128744989e-01
